date,count_all,count_normal,count_staff,count_shop
2020-10-31 19:38:00,5614,5517,48,61
2020-10-31 19:39:00,5662,5565,48,61
2020-10-31 19:40:00,5706,5609,48,61
2020-10-31 19:41:00,5727,5630,48,61
2020-10-31 19:42:00,5737,5640,48,61
2020-10-31 19:43:00,5736,5639,48,61
2020-10-31 19:44:00,5737,5640,48,61
2020-10-31 19:45:00,5718,5620,49,61
2020-10-31 19:46:00,5697,5599,49,61
2020-10-31 19:47:00,5705,5607,49,61
2020-10-31 19:48:00,5726,5628,49,61
2020-10-31 19:49:00,5778,5680,49,61
2020-10-31 19:50:00,5816,5718,49,61
2020-10-31 19:51:00,5856,5758,49,61
2020-10-31 19:52:00,5852,5754,49,61
2020-10-31 19:53:00,5894,5796,49,61
2020-10-31 19:54:00,5921,5823,49,61
2020-10-31 19:55:00,5940,5842,49,61
2020-10-31 19:56:00,5972,5874,49,61
2020-10-31 19:57:00,5991,5893,49,61
2020-10-31 19:58:00,6000,5902,49,61
2020-10-31 19:59:00,6009,5911,49,61
2020-10-31 20:00:00,6026,5928,49,61
2020-10-31 20:01:00,6037,5939,49,61
2020-10-31 20:02:00,6031,5933,49,61
2020-10-31 20:03:00,6031,5933,49,61
2020-10-31 20:04:00,6041,5943,49,61
2020-10-31 20:05:00,6070,5972,49,61
2020-10-31 20:06:00,6062,5964,49,61
2020-10-31 20:07:00,6066,5969,48,61
2020-10-31 20:08:00,6049,5952,48,61
2020-10-31 20:09:00,6038,5941,48,61
2020-10-31 20:10:00,6049,5952,48,61
2020-10-31 20:11:00,6041,5944,48,61
2020-10-31 20:12:00,6061,5963,49,61
2020-10-31 20:13:00,6068,5970,49,61
2020-10-31 20:14:00,6050,5952,49,61
2020-10-31 20:15:00,6026,5928,49,61
2020-10-31 20:16:00,6024,5926,49,61
2020-10-31 20:17:00,6027,5929,49,61
2020-10-31 20:18:00,6030,5932,49,61
2020-10-31 20:19:00,6044,5946,49,61
2020-10-31 20:20:00,6034,5936,49,61
2020-10-31 20:21:00,6020,5922,49,61
2020-10-31 20:22:00,6009,5911,49,61
2020-10-31 20:23:00,5995,5897,49,61
2020-10-31 20:24:00,5983,5885,49,61
2020-10-31 20:25:00,5974,5876,49,61
2020-10-31 20:26:00,5975,5877,49,61
2020-10-31 20:27:00,5998,5901,48,61
2020-10-31 20:28:00,6013,5915,49,61
2020-10-31 20:29:00,5997,5898,50,61
2020-10-31 20:30:00,5993,5894,50,61
2020-10-31 20:31:00,5980,5881,50,61
2020-10-31 20:32:00,5952,5854,50,60
2020-10-31 20:33:00,5937,5839,50,60
2020-10-31 20:34:00,5924,5826,50,60
2020-10-31 20:35:00,5906,5808,50,60
2020-10-31 20:36:00,5910,5812,50,60
2020-10-31 20:37:00,5887,5789,50,60
2020-10-31 20:38:00,5874,5776,50,60
2020-10-31 20:39:00,5845,5747,50,60
2020-10-31 20:40:00,5801,5703,50,60
2020-10-31 20:41:00,5797,5699,50,60
2020-10-31 20:42:00,5771,5673,50,60
2020-10-31 20:43:00,5770,5672,50,60
2020-10-31 20:44:00,5766,5668,50,60
2020-10-31 20:45:00,5762,5663,51,60
2020-10-31 20:46:00,5757,5657,51,61
2020-10-31 20:47:00,5769,5669,51,61
2020-10-31 20:48:00,5775,5675,51,61
2020-10-31 20:49:00,5771,5671,51,61
2020-10-31 20:50:00,5727,5627,51,61
2020-10-31 20:51:00,5697,5597,51,61
2020-10-31 20:52:00,5675,5575,51,61
2020-10-31 20:53:00,5672,5572,51,61
2020-10-31 20:54:00,5632,5532,51,61
2020-10-31 20:55:00,5612,5512,51,61
2020-10-31 20:56:00,5601,5501,51,61
2020-10-31 20:57:00,5576,5477,51,60
2020-10-31 20:58:00,5560,5461,51,60
2020-10-31 20:59:00,5542,5443,51,60
2020-10-31 21:00:00,5502,5403,51,60
2020-10-31 21:01:00,5488,5388,52,60
2020-10-31 21:02:00,5464,5364,52,60
2020-10-31 21:03:00,5452,5352,52,60
2020-10-31 21:04:00,5439,5339,52,60
2020-10-31 21:05:00,5416,5316,52,60
2020-10-31 21:06:00,5383,5284,52,60
2020-10-31 21:07:00,5357,5258,52,60
2020-10-31 21:08:00,5338,5239,52,60
2020-10-31 21:09:00,5305,5206,52,60
2020-10-31 21:10:00,5272,5173,52,60
2020-10-31 21:11:00,5240,5141,52,60
2020-10-31 21:12:00,5216,5117,52,60
2020-10-31 21:13:00,5184,5085,52,60
2020-10-31 21:14:00,5138,5039,52,60
2020-10-31 21:15:00,5086,4988,51,60
2020-10-31 21:16:00,5056,4958,51,60
2020-10-31 21:17:00,5019,4921,51,60
2020-10-31 21:18:00,4987,4889,51,60
2020-10-31 21:19:00,4957,4859,51,60
2020-10-31 21:20:00,4933,4835,51,60
2020-10-31 21:21:00,4890,4792,51,60
2020-10-31 21:22:00,4857,4759,51,60
2020-10-31 21:23:00,4856,4758,51,60
2020-10-31 21:24:00,4855,4757,51,60
2020-10-31 21:25:00,4853,4755,51,60
2020-10-31 21:26:00,4850,4752,51,60
2020-10-31 21:27:00,4850,4752,51,60
2020-10-31 21:28:00,4847,4749,51,60
2020-10-31 21:29:00,4845,4747,51,60
2020-10-31 21:30:00,4845,4747,51,60
2020-10-31 21:31:00,4844,4746,51,60
2020-10-31 21:32:00,4844,4746,51,60
2020-10-31 21:33:00,4843,4745,51,60
2020-10-31 21:34:00,4840,4742,51,60
2020-10-31 21:35:00,4839,4741,51,60
2020-10-31 21:36:00,4838,4740,51,60
2020-10-31 21:37:00,4838,4740,51,60
2020-10-31 21:38:00,4838,4740,51,60
2020-10-31 21:39:00,4837,4739,51,60
2020-10-31 21:40:00,4837,4739,51,60
2020-10-31 21:41:00,4837,4739,51,60
2020-10-31 21:42:00,4835,4737,51,60
2020-10-31 21:43:00,4834,4736,51,60
2020-10-31 21:44:00,4831,4733,51,60
2020-10-31 21:45:00,4830,4732,51,60
2020-10-31 21:46:00,4827,4729,51,60
2020-10-31 21:47:00,4825,4727,51,60
2020-10-31 21:48:00,4825,4727,51,60
2020-10-31 21:49:00,4825,4727,51,60
2020-10-31 21:50:00,4825,4727,51,60
2020-10-31 21:51:00,4825,4727,51,60
2020-10-31 21:52:00,4822,4724,51,60
2020-10-31 21:53:00,4819,4721,51,60
2020-10-31 21:54:00,4818,4720,51,60
2020-10-31 21:55:00,4816,4718,51,60
2020-10-31 21:56:00,4816,4718,51,60
2020-10-31 21:57:00,4816,4718,51,60
2020-10-31 21:58:00,4815,4717,51,60
2020-10-31 21:59:00,4815,4717,51,60
2020-10-31 22:00:00,4815,4717,51,60
